mae_fold_0,mae_fold_1,mae_fold_2,mae_fold_3,mae_avg,mae_std,numFactors,alpha,beta,numIters,seed
1.2474650051867204,1.2498881399501673,1.2499093404095418,1.2458740360765017,1.2482841304057328,0.0017098007906867357,12,0.2,15.0,50,42
1.2365338477522054,1.2392054089148625,1.2414090140799305,1.2396806859075273,1.2392072391636315,0.0017477835671105312,8,0.2,25.0,25,42
1.2639852453269975,1.2660819020470448,1.266624187423105,1.2598932422462057,1.2641461442608382,0.0026457947829477096,12,0.2,5.0,75,42
1.2382314556242406,1.2406698622542436,1.2373220796242692,1.2374443326440432,1.2384169325366992,0.0013467319191565825,4,0.4,15.0,25,42
1.2297669943578935,1.2274563066374864,1.2263813949114735,1.2209570308850037,1.226140431697964,0.0032330013470813733,12,0.6,5.0,75,42
1.2259385695696337,1.230635722651888,1.2298002078723007,1.2248280987944409,1.2278006497220657,0.0024667424280307004,12,0.4,25.0,50,42
1.235844692798193,1.2369702764647499,1.2377984892606302,1.236255643539777,1.2367172755158375,7.42889177894775E-4,8,0.4,15.0,25,42
1.2610966740884448,1.266991987299366,1.2714430986647627,1.269713555890364,1.2673113289857343,0.003923204346797456,8,0.2,5.0,75,42
1.2294234680851768,1.2332751854033,1.236526250750342,1.2283804721874632,1.2319013441065705,0.003233172204676012,8,0.6,5.0,75,42
1.2353759665022923,1.2378934709055214,1.2376397523277234,1.2349486120255475,1.236464450440271,0.0013139632224250571,12,0.4,15.0,25,42
1.2311361034682675,1.2330700389017353,1.2359908317029478,1.2300423088497117,1.2325598207306654,0.002258151666075866,8,0.8,25.0,75,42
1.236744061873704,1.2377742080516974,1.229349479092892,1.2387016174156484,1.2356423416084854,0.003698578415382708,4,0.4,25.0,50,42
1.2408026524038835,1.244594101062394,1.2374898763053008,1.2395237312855771,1.240602590264289,0.00258964805511844,4,0.2,15.0,25,42
1.242491768643747,1.2460511882613963,1.2523934415330764,1.249589790960279,1.2476315473496247,0.003722405614861113,8,0.2,25.0,50,42
1.237118418929602,1.2395371624865084,1.2380961211648072,1.2378756084477056,1.2381568277571557,8.755550309033353E-4,4,0.6,15.0,25,42
1.2385949916404515,1.235017489211324,1.2367175882358836,1.2313843554765196,1.2354286061410447,0.0026557697819598308,12,0.8,5.0,100,42
1.227214232294676,1.2302139483981438,1.2282804808250911,1.2319373150832953,1.2294114941503016,0.0018118260822592904,4,0.6,25.0,75,42
1.2408542962839708,1.2472435658011862,1.2466022711679738,1.2464416102718745,1.2452854358812513,0.002575852543713537,8,0.4,5.0,75,42
1.2369092106487682,1.2393203611221897,1.24201339809579,1.2405739975930354,1.2397042418649458,0.0018740491888593102,8,0.2,15.0,25,42
1.247347851084215,1.264003521086143,1.2478761122495006,1.2580541204953242,1.2543204012287956,0.007032936543513548,4,0.2,25.0,75,42
1.2356283593260342,1.2329757297315085,1.2297287295101087,1.2340352204568277,1.2330920097561198,0.0021591601737751508,4,0.8,15.0,50,42
1.2322049736868135,1.2361242921297728,1.2369234863268477,1.2291077505356915,1.2335901256697814,0.003144186133789226,12,0.6,25.0,50,42
1.2347822366574053,1.2369296637237048,1.2375522521493556,1.2364869956498428,1.2364377870450771,0.00102801309677159,8,0.8,15.0,50,42
1.2298960192950534,1.2262937245979502,1.2279888729250836,1.2299843616560053,1.228540744618523,0.0015226999818274054,4,0.8,15.0,75,42
1.2321229855470794,1.2320737083774078,1.2298724019757585,1.228180630971658,1.230562431717976,0.0016483629178049729,12,0.4,15.0,100,42
1.2358891506101333,1.2359823284730924,1.235227604682424,1.2290177757115859,1.234029214869309,0.002907949203692258,12,0.8,15.0,75,42
1.2371381731163709,1.2375145954724998,1.2365902555263428,1.2384737999447888,1.2374292060150005,6.868416680913931E-4,4,0.6,15.0,100,42
1.2210517700943753,1.2224404796390547,1.2270005364349459,1.2134772242903313,1.2209925026146768,0.0048650803892420404,12,0.6,25.0,75,42
1.2318305579450761,1.2366094032448751,1.2407670528600527,1.2394924042550575,1.2371748545762653,0.0034335173916126447,8,0.4,5.0,50,42
1.2524434646443459,1.2564178316303407,1.2569440689527014,1.250684616094698,1.2541224953305217,0.00263950772493066,12,0.2,25.0,75,42
1.2257576150698881,1.22823500883476,1.2312570443719633,1.2244538583434983,1.2274258816550274,0.0025955987035742897,8,0.6,15.0,100,42
1.2462003966031454,1.2582755924137816,1.2451482443086077,1.2510623279727278,1.2501716403245657,0.005183450785407299,4,0.2,5.0,50,42
1.2250026344477767,1.222278092261531,1.2197132591648145,1.214962761480394,1.2204891868386292,0.0036984737706161936,12,0.6,15.0,100,42
1.239003680494483,1.2414861932067065,1.239390497735261,1.2395505989151812,1.2398577425879078,9.609797689483193E-4,4,0.8,5.0,25,42
1.2522221995549863,1.272480761109775,1.2568235825523386,1.2634648831513458,1.2612478565921115,0.007617907133821478,4,0.2,5.0,75,42
1.2314757265149743,1.23295203560243,1.2376187725168746,1.2375724636664986,1.2349047495751946,0.002741072327021876,8,0.4,25.0,75,42
1.2526397099332376,1.2533465875293996,1.2540156728991994,1.2501110979382934,1.2525282670750326,0.001477933574120456,12,0.2,5.0,50,42
1.232152745682667,1.23441401724062,1.2330592508604377,1.2282872258727626,1.2319783099141217,0.0022779175109902106,12,0.6,5.0,50,42
1.2364405389024875,1.232886999958664,1.2302293296229057,1.2344044955213904,1.233490341001362,0.0022659193369645456,4,0.8,25.0,50,42
1.2252389056660404,1.2282051236988458,1.226664387181821,1.2234821531721856,1.2258976424297232,0.001745056574966002,12,0.4,25.0,75,42
1.2461973864631046,1.2580228643482878,1.2505814952615832,1.258408949834314,1.2533026739768225,0.005153740741649245,4,0.4,15.0,100,42
1.2365932328708518,1.2393953890674405,1.2389286751782973,1.238317052532839,1.2383085874123572,0.001061621346842708,12,0.8,5.0,25,42
1.2312841685032485,1.2346741539251453,1.232312290418099,1.2358570680389613,1.2335319202213635,0.001820088929903916,4,0.6,25.0,100,42
1.2368310639861808,1.238262403379258,1.2390584661456125,1.2374843446523576,1.2379090695408523,8.349318180555689E-4,8,0.4,5.0,25,42
1.2556644748130574,1.259555009240564,1.2597997420427078,1.253280519986831,1.25707493652079,0.0027368926216515175,12,0.2,15.0,75,42
1.2277248667997962,1.222356495766841,1.2225782890889332,1.2148521414142561,1.2218779482674567,0.00458987753751907,12,0.6,15.0,75,42
1.2328795890262456,1.2294373342197673,1.231416597972447,1.2330866403111036,1.2317050403823908,0.0014589442367389483,4,0.8,15.0,100,42
1.2361192102406915,1.2389726709228057,1.2381835158056465,1.2365870498443523,1.237465611703374,0.0011588012803944228,12,0.4,5.0,25,42
1.2368986108330227,1.2355170579931105,1.2318010004412185,1.2352080598818336,1.2348561822872963,0.0018752483180284264,4,0.8,5.0,50,42
1.2394070663360564,1.2417941589034258,1.2444244498222474,1.243291238374209,1.2422292283589846,0.0018775480326762158,8,0.2,5.0,25,42
1.2343136405939636,1.2375497764686947,1.2412940565535515,1.24044847365844,1.2384014868186624,0.002738293815062824,8,0.4,15.0,75,42
1.2381782640101973,1.2330094795618813,1.2305267081459963,1.2230545243279667,1.2311922440115104,0.005449133878512372,12,0.8,15.0,100,42
1.2435484797050702,1.2469128166292105,1.240411424386721,1.2418865187469612,1.2431898098669907,0.002419060614412306,4,0.2,5.0,25,42
1.229587476959422,1.2293881736730068,1.2275268263996066,1.2258087264388398,1.2280778008677187,0.001536918216676039,12,0.4,15.0,75,42
1.2348184942815115,1.2309097359768906,1.2343189912450232,1.2337674230885456,1.2334536611479927,0.001515055072487794,4,0.8,5.0,75,42
1.2359045005330644,1.2383420010699848,1.2374398654419065,1.235848583002425,1.236883737511845,0.0010566764876934723,12,0.8,5.0,50,42
1.2402620754809706,1.242715792862829,1.2421406988850896,1.2419699470733472,1.241772128575559,9.145680492286373E-4,12,0.2,5.0,25,42
1.2556586009731971,1.2597541673639863,1.2606894268039879,1.2538538720765706,1.2574890168044355,0.002825695955443536,12,0.2,25.0,100,42
