mae_fold_0,mae_fold_1,mae_fold_2,mae_fold_3,mae_avg,mae_std,numFactors,lambda,gamma,numIters,seed
2.336850662271605,2.423010643275056,2.311104289901771,2.295835044359819,2.3417001599520626,0.04917984449547329,8,0.001,0.01,100,42
2.6725831329127536,2.4776974092004407,2.508096021560665,2.4521139554801152,2.5276226297884934,0.08600715586725358,4,1.0,0.01,50,42
2.1770966910748926,2.3075321912075433,2.2009157434975903,2.214730673233959,2.2250688247534964,0.0494767145423167,8,0.1,0.01,75,42
1.5462007521369943,1.5427838897685218,1.5377627441554498,1.5439754820669063,1.542680717031968,0.0030929017711549146,8,0.01,0.001,75,42
1.5128335567643167,1.5078283954602256,1.5087363541456504,1.511285543028312,1.5101709623496262,0.0019923239844884433,4,0.001,0.001,100,42
2.738713984904789,2.5811915170204527,2.681688154769662,2.5052685558525907,2.626715553136873,0.08998256311981707,12,0.001,0.01,25,42
1.557763508708109,1.5567631771946484,1.5539892937892295,1.5594772802078263,1.5569983149749533,0.0019899929866029273,12,0.01,0.001,75,42
0.0,0.0,0.0,0.0,0.0,0.0,8,0.1,0.1,75,42
0.0,0.0,0.0,0.0,0.0,0.0,12,0.1,1.0,25,42
0.0,0.0,0.0,0.0,0.0,0.0,4,0.1,0.1,75,42
0.0,0.0,0.0,0.0,0.0,0.0,12,0.001,1.0,75,42
0.0,0.0,0.0,0.0,0.0,0.0,8,1.0,0.1,25,42
0.0,0.0,0.0,0.0,0.0,0.0,8,0.1,1.0,25,42
2.2347624313634307,2.340624430020608,2.225069708738702,2.226396955580346,2.2567133814257714,0.04858836275820577,8,0.01,0.01,100,42
0.0,0.0,0.0,0.0,0.0,0.0,4,0.01,1.0,50,42
2.1440229655517706,2.272575114451454,2.1714636247182986,2.185040351120255,2.1932755139604443,0.04810877410124513,8,0.1,0.01,100,42
0.0,0.0,0.0,0.0,0.0,0.0,4,0.1,1.0,25,42
0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.1,25,42
0.0,0.0,0.0,0.0,0.0,0.0,12,0.01,1.0,25,42
0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,1.0,75,42
0.0,0.0,0.0,0.0,0.0,0.0,4,0.001,1.0,75,42
0.0,0.0,0.0,0.0,0.0,0.0,12,0.001,1.0,50,42
0.0,0.0,0.0,0.0,0.0,0.0,8,1.0,1.0,50,42
0.0,0.0,0.0,0.0,0.0,0.0,8,0.001,1.0,50,42
1.5481044125657557,1.5477259789985158,1.544014581131923,1.55008540426699,1.5474825942407961,0.002193605999565388,12,0.001,0.001,100,42
1.9239662223529197,1.9207228775490803,1.9218460909566857,1.9248775537336955,1.9228531861480955,0.0016499522088894137,12,1.0,0.001,100,42
0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,1.0,50,42
1.6142455319645639,1.612684148770046,1.6047473834116726,1.6140024302261442,1.611419873593107,0.003897898823064555,8,0.1,0.001,75,42
1.6875728575634865,1.6815694322846688,1.6787939485696637,1.6837483179619042,1.6829211390949308,0.0032087194689405674,12,0.1,0.001,50,42
1.536187483007355,1.5325051296454335,1.5265733790686038,1.5341148884790117,1.532345220050101,0.0035789115096401584,8,0.001,0.001,100,42
1.923447854036479,1.9203218709554284,1.916859630979052,1.9225491215551895,1.920794619381537,0.0025409425816818633,8,1.0,0.001,100,42
1.5968479492001928,1.591521198234325,1.5914504606013269,1.5942923601988037,1.593527992058662,0.002233256170084359,4,0.1,0.001,75,42
0.0,0.0,0.0,0.0,0.0,0.0,4,0.001,1.0,100,42
0.0,0.0,0.0,0.0,0.0,0.0,12,0.01,0.1,100,42
2.3185621927255213,1.977535001434316,1.9775620944182206,1.935401548828999,2.052265209351764,0.15470646226071363,4,0.001,0.01,50,42
0.0,0.0,0.0,0.0,0.0,0.0,4,0.1,1.0,50,42
2.6185985409203396,2.4692314289062205,2.559257814091851,2.3926612853413673,2.5099372673149443,0.0860964719723513,12,0.01,0.01,25,42
2.6402631895433397,2.5063641764695572,2.581434018686392,2.434595096196945,2.5406641202240587,0.07747464622301017,12,0.001,0.01,50,42
2.4001162477025018,2.0243695334538687,2.0182410187453863,1.9688919782139966,2.1029046945289385,0.17293772361476,4,0.01,0.01,25,42
2.3588680668276583,2.4438259556822794,2.3265123638468923,2.313078977715531,2.3605713410180904,0.050866910914318504,8,0.001,0.01,75,42
